label,gap,atom1,atom2,s2_x,p1_x,p2_x,s1_y,s2_y,p1_y,p2_y,d1_y,d2_y,nbr
Ba_O,0.142058,Ba,O,1.2644819999999999,0.5556979999999999,1.3899789999999999,1.7074639999999999,3.265053,2.208372,2.9026129999999997,3.976632,3.9766369999999998,4
Ba_S,0.128681,Ba,S,1.2644819999999999,0.5556979999999999,1.3899789999999999,1.6584059999999998,2.681101,1.986056,2.4628059999999996,2.6661029999999997,2.6661029999999997,4
Ba_Se,0.116581,Ba,Se,1.2644819999999999,0.5556979999999999,1.3899789999999999,1.629522,3.479084,1.9722629999999999,2.456526,2.5351929999999996,2.5351929999999996,4
Ba_Te,0.110274,Ba,Te,1.2644819999999999,0.5556979999999999,1.3899789999999999,1.61292,2.621038,1.90326,2.2833129999999997,2.380302,2.3803039999999998,4
Be_O,0.215394,Be,O,4.006145,4.14394,4.14394,4.628511,6.1861,5.129419,5.82366,6.897679,6.897684,4
Be_S,0.197292,Be,S,4.006145,4.14394,4.14394,4.579453,5.602148,4.907103,5.383853,5.58715,5.58715,4
Be_Se,0.147918,Be,Se,4.006145,4.14394,4.14394,4.550569,6.400131,4.89331,5.377573,5.45624,5.45624,4
Be_Te,0.134789,Be,Te,4.006145,4.14394,4.14394,4.5339670000000005,5.542085,4.824307,5.20436,5.301349,5.301351,4
Ca_O,0.145589,Ca,O,1.808248,0.7297150000000001,1.954045,2.334559,3.892148,2.8354670000000004,3.5297080000000003,4.603727,4.603732,4
Ca_S,0.135966,Ca,S,1.808248,0.7297150000000001,1.954045,2.285501,3.308196,2.6131510000000002,3.0899010000000002,3.2931980000000003,3.2931980000000003,4
Ca_Se,0.116829,Ca,Se,1.808248,0.7297150000000001,1.954045,2.2566170000000003,4.106179,2.599358,3.083621,3.162288,3.162288,4
Ca_Te,0.11102,Ca,Te,1.808248,0.7297150000000001,1.954045,2.240015,3.248133,2.530355,2.9104080000000003,3.007397,3.0073990000000004,4
Cs_Br,0.154029,Cs,Br,0.981429,0.487158,1.0609439999999999,0.745899,1.810638,1.172689,1.7051249999999998,1.9608940000000001,1.9608949999999998,4
Cs_Cl,0.162753,Cs,Cl,0.981429,0.487158,1.0609439999999999,0.75871,2.510374,1.180024,1.742286,1.9080810000000001,1.9080849999999998,4
Cs_F,0.197912,Cs,F,0.981429,0.487158,1.0609439999999999,0.592816,2.649736,1.261609,2.034182,3.28747,3.287489,4
Cs_I,0.13498,Cs,I,0.981429,0.487158,1.0609439999999999,0.8039099999999999,4.383714,1.156979,1.5885310000000001,1.6457609999999998,1.6457639999999998,4
K_Br,0.147937,K,Br,1.319421,0.6207099999999999,1.409974,1.111416,2.176155,1.538206,2.070642,2.3264110000000002,2.326412,4
K_Cl,0.159541,K,Cl,1.319421,0.6207099999999999,1.409974,1.1242269999999999,2.875891,1.545541,2.1078029999999996,2.273598,2.273602,4
K_F,0.185248,K,F,1.319421,0.6207099999999999,1.409974,0.958333,3.015253,1.627126,2.399699,3.652987,3.653006,4
K_I,0.128876,K,I,1.319421,0.6207099999999999,1.409974,1.169427,4.749231,1.5224959999999998,1.954048,2.011278,2.011281,4
Li_Br,0.153558,Li,Br,1.97743,2.067062,2.067062,1.789957,2.854696,2.216747,2.749183,3.0049520000000003,3.004953,4
Li_Cl,0.180788,Li,Cl,1.97743,2.067062,2.067062,1.802768,3.5544320000000003,2.224082,2.7863439999999997,2.952139,2.952143,4
Li_F,0.207007,Li,F,1.97743,2.067062,2.067062,1.636874,3.693794,2.305667,3.07824,4.3315280000000005,4.3315470000000005,4
Li_I,0.137751,Li,I,1.97743,2.067062,2.067062,1.847968,5.427772,2.201037,2.6325890000000003,2.689819,2.689822,4
