label,s,s*,p,p*,atom1,atom2,s2_x,p1_x,p2_x,s1_y,s2_y,p1_y,p2_y,d1_y,d2_y,nbr
Be_Te,-0.258777,0.319686,0.184897,0.306577,Be,Te,4.006145,4.14394,4.14394,4.533967,5.542085,4.824307,5.20436,5.301349,5.301351,4
Mg_Te,-0.248747,0.176905,0.11602,0.286103,Mg,Te,2.986702,1.223527,3.179032,3.514518,4.522636,3.804858,4.184911,4.2819,4.281902,4
Ca_Te,-0.265664,0.162855,0.051835,0.329781,Ca,Te,1.808248,0.729715,1.954045,2.240015,3.248133,2.530355,2.910408,3.007397,3.007399,4
Sr_Te,-0.26558,0.1494,0.041933,0.329741,Sr,Te,1.549414,0.678491,1.687498,1.943808,2.951926,2.234148,2.614201,2.71119,2.711192,4
Ba_Te,-0.262286,0.147735,0.037461,0.359629,Ba,Te,1.264482,0.555698,1.389979,1.61292,2.621038,1.90326,2.283313,2.380302,2.380304,4
Li_I,-0.3672,0.160518,0.022767,0.272302,Li,I,1.97743,2.067062,2.067062,1.847968,5.427772,2.201037,2.632589,2.689819,2.689822,4
Na_I,-0.380611,0.101804,-0.010722,0.26601,Na,I,2.124184,1.046237,2.24027,2.008711,5.588515,2.36178,2.793332,2.850562,2.850565,4
K_I,-0.406169,0.080931,-0.047945,0.254037,K,I,1.319421,0.62071,1.409974,1.169427,4.749231,1.522496,1.954048,2.011278,2.011281,4
Rb_I,-0.411545,0.073674,-0.05473,0.251812,Rb,I,1.170768,0.591516,1.262311,1.017798,4.597602,1.370867,1.802419,1.859649,1.859652,4
Cs_I,-0.40806,0.082667,-0.052313,0.260935,Cs,I,0.981429,0.487158,1.060944,0.80391,4.383714,1.156979,1.588531,1.645761,1.645764,4
