zb_B_N.cif,9.205968,B,N,4
zb_Al_N.cif,3.9933,Al,N,4
zb_Ga_N.cif,1.5701,Ga,N,4
zb_In_N.cif,0.0,In,N,4
zb_Tl_N.cif,0.0,Tl,N,4
zb_Zn_O.cif,0.6309,Zn,O,4
zb_Sr_O.cif,3.699307,Sr,O,4
zb_Cd_O.cif,2e-06,Cd,O,4
zb_Ba_O.cif,3.342067,Ba,O,4
zb_Hg_O.cif,2e-06,Hg,O,4
zb_Li_F.cif,7.680288,Li,F,4
zb_K_F.cif,6.291668,K,F,4
zb_Cu_F.cif,0.0,Cu,F,4
zb_Rb_F.cif,6.33247,Rb,F,4
zb_Ag_F.cif,3e-06,Ag,F,4
zb_Cs_F.cif,6.877199,Cs,F,4
zb_B_P.cif,3.3916,B,P,4
zb_Al_P.cif,3.0901,Al,P,4
zb_In_P.cif,0.4546,In,P,4
zb_Tl_P.cif,0.0,Tl,P,4
zb_Be_S.cif,5.673,Be,S,4
zb_Mg_S.cif,3.3692,Mg,S,4
zb_Zn_S.cif,2.0192,Zn,S,4
zb_Sr_S.cif,3.385807,Sr,S,4
zb_Cd_S.cif,1.0492,Cd,S,4
zb_Ba_S.cif,3.393951,Ba,S,4
zb_Hg_S.cif,0.0,Hg,S,4
zb_Li_Cl.cif,5.957916,Li,Cl,4
zb_Na_Cl.cif,4.843073,Na,Cl,4
zb_K_Cl.cif,4.746502,K,Cl,4
zb_Cu_Cl.cif,0.5646,Cu,Cl,4
zb_Rb_Cl.cif,4.560583,Rb,Cl,4
zb_Ag_Cl.cif,1.288328,Ag,Cl,4
zb_Cs_Cl.cif,4.555901,Cs,Cl,4
zb_Au_Cl.cif,2e-06,Au,Cl,4
zb_B_As.cif,3.2367,B,As,4
zb_Al_As.cif,1.7728,Al,As,4
zb_Ga_As.cif,0.1861,Ga,As,4
zb_In_As.cif,0.0,In,As,4
zb_Tl_As.cif,0.0,Tl,As,4
zb_Be_Se.cif,4.2402,Be,Se,4
zb_Mg_Se.cif,2.5476,Mg,Se,4
zb_Ca_Se.cif,3.2587,Ca,Se,4
zb_Zn_Se.cif,1.1663,Zn,Se,4
zb_Sr_Se.cif,2.962781,Sr,Se,4
zb_Cd_Se.cif,0.5096,Cd,Se,4
zb_Ba_Se.cif,3.069024,Ba,Se,4
zb_Hg_Se.cif,0.0,Hg,Se,4
zb_Li_Br.cif,4.935983,Li,Br,4
zb_K_Br.cif,4.245558,K,Br,4
zb_Cu_Br.cif,0.4871,Cu,Br,4
zb_Rb_Br.cif,4.128927,Rb,Br,4
zb_Cs_Br.cif,4.148771,Cs,Br,4
zb_Au_Br.cif,-1e-06,Au,Br,4
zb_B_Sb.cif,2.4407,B,Sb,4
zb_Al_Sb.cif,1.2751,Al,Sb,4
zb_Ga_Sb.cif,0.0,Ga,Sb,4
zb_In_Sb.cif,2.965682,In,Sb,4
zb_Tl_Sb.cif,2.293112,Tl,Sb,4
zb_Be_Te.cif,3.6225,Be,Te,4
zb_Mg_Te.cif,2.3186,Mg,Te,4
zb_Ca_Te.cif,3.087286,Ca,Te,4
zb_Zn_Te.cif,1.0733,Zn,Te,4
zb_Sr_Te.cif,2.863646,Sr,Te,4
zb_Cd_Te.cif,0.5846,Cd,Te,4
zb_Ba_Te.cif,2.985002,Ba,Te,4
