mol,anion,cation,energy_occ_s,energy_unocc_s,splitting_s,diff_s,delta_s,deltar_s,energy_occ_p,energy_unocc_p,splitting_p,diff_p,delta_p,deltar_p,gap
Ag_Br,Br,Ag,-0.412263,0.106374,0.518637,0.023389,0.495248,21.17439822,0.088503,0.334596,0.246093,0.224502,0.021591,0.096172863,0.017871
Ag_Cl,Cl,Ag,-0.416984,0.108807,0.525791,0.010578,0.515213,48.70608811,0.089161,0.367178,0.278017,0.231837,0.04618,0.199191673,0.019646
Ag_F,F,Ag,-0.694323,0.042536,0.736859,0.176472,0.560387,3.175500929,0.058884,0.513881,0.454997,0.313422,0.141575,0.451707283,-0.016348
Ag_I,I,Ag,-0.328492,0.134008,0.4625,0.034622,0.427878,12.35855814,0.10531,0.29815,0.19284,0.208792,-0.015952,-0.076401395,0.028698
Al_As,As,Al,-0.252403,0.242707,0.49511,0.158936,0.336174,2.115153269,0.173189,0.308759,0.13557,0.586719,-0.451149,-0.768935385,0.069518
Al_N,N,Al,-0.275773,0.420038,0.695811,0.313815,0.381996,1.217264949,0.286503,0.689161,0.402658,0.831451,-0.428793,-0.5157165,0.133535
Al_P,P,Al,-0.227805,0.304443,0.532248,0.216368,0.31588,1.459920136,0.192412,0.336892,0.14448,0.617542,-0.473062,-0.766040205,0.112031
Al_Sb,Sb,Al,-0.227426,0.199345,0.426771,0.107632,0.319139,2.965094024,0.151907,0.251294,0.099387,0.494359,-0.394972,-0.798957842,0.047438
Au_Br,Br,Au,0.068128,0.733279,0.665151,0.049978,0.615173,12.30887591,0.094487,0.070151,-0.024336,0.235719,-0.260055,-1.103241572,0.638792
Au_Cl,Cl,Au,0.071675,0.828259,0.756584,0.062789,0.693795,11.04962653,0.085025,0.064792,-0.020233,0.243054,-0.263287,-1.083244876,0.743234
Au_F,F,Au,0.000837,1.031985,1.031148,0.103105,0.928043,9.000950487,-0.144786,0.527207,0.671993,0.324639,0.347354,1.069970028,1.176771
Au_I,I,Au,0.108973,0.703348,0.594375,0.107989,0.486386,4.504032818,0.13061,0.105527,-0.025083,0.220009,-0.245092,-1.114008972,0.572738
B_As,As,B,-0.280761,0.467993,0.748754,2.247845,-1.499091,-0.66690141,0.290501,0.397666,0.107165,2.309723,-2.202558,-0.953602661,0.177492
