mol,anion,cation,energy_occ_s,energy_unocc_s,splitting_s,diff_s,delta_s,deltar_s,energy_occ_p,energy_unocc_p,splitting_p,diff_p,delta_p,deltar_p,gap
Sr_Se,Se,Sr,-0.185656,0.283963,0.469619,1.96041,-1.490791,-0.76044858,0.212314,0.7206,0.508286,0.615653,-0.107367,-0.174395317,0.071649
Sr_Te,Te,Sr,-0.152032,0.277125,0.429157,1.943808,-1.514651,-0.779218421,0.200411,0.609256,0.408845,0.54665,-0.137805,-0.252090003,0.076714
Tl_As,As,Tl,0.159563,1.753101,1.593538,2.187394,-0.593856,-0.271490184,0.249109,0.229079,-0.02003,2.098576,-2.118606,-1.009544567,1.503992
Tl_N,N,Tl,0.245243,2.927565,2.682322,2.342273,0.340049,0.145179063,0.337239,0.304737,-0.032502,2.343308,-2.37581,-1.013870136,2.590326
Tl_P,P,Tl,0.228165,1.958728,1.730563,2.244826,-0.514263,-0.229088134,0.277115,0.253474,-0.023641,2.129399,-2.15304,-1.011102194,1.681613
Tl_Sb,Sb,Tl,0.149814,1.341324,1.19151,2.13609,-0.94458,-0.442200469,0.227466,0.213178,-0.014288,2.006216,-2.020504,-1.007121865,1.113858
Zn_O,O,Zn,-0.384631,0.262773,0.647404,0.622377,0.025027,0.040211962,0.254827,0.90378,0.648953,0.869806,-0.220853,-0.253910642,0.007946
Zn_S,S,Zn,-0.266711,0.280346,0.547057,0.573319,-0.026262,-0.045806959,0.218008,0.623663,0.405655,0.64749,-0.241835,-0.373496116,0.062338
Zn_Se,Se,Zn,-0.281882,0.219929,0.501811,0.544435,-0.042624,-0.078290338,0.201279,0.546266,0.344987,0.633697,-0.28871,-0.455596287,0.01865
Zn_Te,Te,Zn,-0.237264,0.222788,0.460052,0.527833,-0.067781,-0.128413722,0.199921,0.477315,0.277394,0.564694,-0.2873,-0.508771122,0.022867
