label,ss,atom1,atom2,s2_x,p1_x,p2_x,p3_x,p4_x,p5_x,p6_x,s1_y,s2_y,p1_y,p2_y,p3_y,p4_y,p5_y,p6_y,d1_y,d2_y,d3_y,d4_y,d5_y,nbr
Be_S,0.700347,Be,S,3.694506,3.856542,3.856542,3.856542,3.856542,3.856542,3.856542,3.2703930000000003,4.431375,3.61803,3.6605790000000002,3.6605790000000002,4.1823310000000005,4.208096,4.208096,4.2682720000000005,4.269847,4.269847,4.306942,4.306942,4
Mg_S,0.503843,Mg,S,2.757533,1.2230139999999998,1.2230139999999998,1.2230139999999998,2.908773,2.908773,2.908773,2.301136,3.462118,2.648773,2.691322,2.691322,3.2130739999999998,3.238839,3.238839,3.299015,3.3005899999999997,3.3005899999999997,3.337685,3.337685,4
Ca_S,0.488597,Ca,S,1.622906,0.7253029999999999,0.7253029999999999,0.7253029999999999,1.7187919999999999,1.7187919999999999,1.7187919999999999,1.1252309999999999,2.286213,1.4728679999999998,1.5154169999999998,1.5154169999999998,2.037169,2.062934,2.062934,2.12311,2.124685,2.124685,2.16178,2.16178,4
Sr_S,0.467602,Sr,S,1.373117,0.6709149999999999,0.6709149999999999,0.6709149999999999,1.461834,1.461834,1.461834,0.857999,2.018981,1.205636,1.2481849999999999,1.2481849999999999,1.769937,1.795702,1.795702,1.8558780000000001,1.857453,1.857453,1.894548,1.894548,4
Ba_S,0.463548,Ba,S,1.120324,0.5485439999999999,0.5485439999999999,0.5485439999999999,1.199578,1.199578,1.199578,0.604308,1.7652899999999998,0.951945,0.994494,0.994494,1.516246,1.542011,1.542011,1.602187,1.6037620000000001,1.6037620000000001,1.640857,1.640857,4
Li_Cl,0.639761,Li,Cl,1.835556,1.9480849999999998,1.9480849999999998,1.9480849999999998,1.9480849999999998,1.9480849999999998,1.9480849999999998,1.1445429999999999,2.9805659999999996,1.5670089999999999,1.596388,1.6036154999999999,2.204385,2.2199619999999998,2.2243684999999997,2.2851795,2.291664,2.294112,2.3163115,2.325693,4
Na_Cl,0.576083,Na,Cl,2.011682,1.0452309999999998,1.0452309999999998,1.0452309999999998,2.1063745,2.106375,2.1063764999999997,1.330183,3.166206,1.752649,1.782028,1.7892554999999999,2.390025,2.405602,2.4100085,2.4708195,2.477304,2.479752,2.5019514999999997,2.5113329999999996,4
K_Cl,0.585126,K,Cl,1.2364765,0.6187389999999999,0.6187389999999999,0.6187389999999999,1.3059195,1.3059205,1.3059205,0.552213,2.388236,0.974679,1.0040580000000001,1.0112855,1.612055,1.627632,1.6320385,1.6928495,1.699334,1.7017820000000001,1.7239814999999998,1.7333629999999998,4
Rb_Cl,0.58322,Rb,Cl,1.1022915,0.588916,0.588916,0.588916,1.169881,1.169881,1.169881,0.41967199999999993,2.255695,0.8421379999999999,0.871517,0.8787445,1.479514,1.495091,1.4994975,1.5603085,1.566793,1.5692409999999999,1.5914405,1.600822,4
Cs_Cl,0.586204,Cs,Cl,0.9125365,0.4843415,0.4843415,0.4843415,0.970568,0.9705685000000001,0.9705685000000001,0.2256775,2.0617004999999997,0.6481435,0.6775225,0.68475,1.2855195,1.3010964999999999,1.3055029999999999,1.366314,1.3727985,1.3752465,1.397446,1.4068275,4
Be_Se,0.647397,Be,Se,3.694506,3.856542,3.856542,3.856542,3.856542,3.856542,3.856542,3.268532,5.227329,3.637152,3.678497,3.678497,4.198273,4.22551,4.225511,4.208353,4.20902,4.20902,4.241458,4.241458,4
Mg_Se,0.482636,Mg,Se,2.757533,1.2230139999999998,1.2230139999999998,1.2230139999999998,2.908773,2.908773,2.908773,2.2992749999999997,4.258072,2.6678949999999997,2.70924,2.70924,3.2290159999999997,3.256253,3.2562539999999998,3.239096,3.239763,3.239763,3.272201,3.272201,4
Ca_Se,0.486449,Ca,Se,1.622906,0.7253029999999999,0.7253029999999999,0.7253029999999999,1.7187919999999999,1.7187919999999999,1.7187919999999999,1.12337,3.082167,1.49199,1.533335,1.533335,2.053111,2.080348,2.080349,2.0631909999999998,2.0638579999999997,2.0638579999999997,2.0962959999999997,2.0962959999999997,4
Sr_Se,0.469654,Sr,Se,1.373117,0.6709149999999999,0.6709149999999999,0.6709149999999999,1.461834,1.461834,1.461834,0.856138,2.814935,1.224758,1.266103,1.266103,1.785879,1.813116,1.813117,1.7959589999999999,1.7966259999999998,1.7966259999999998,1.829064,1.829064,4
Ba_Se,0.470015,Ba,Se,1.120324,0.5485439999999999,0.5485439999999999,0.5485439999999999,1.199578,1.199578,1.199578,0.602447,2.561244,0.9710669999999999,1.0124119999999999,1.0124119999999999,1.532188,1.559425,1.559426,1.542268,1.542935,1.542935,1.575373,1.575373,4
Li_Br,0.612802,Li,Br,1.835556,1.9480849999999998,1.9480849999999998,1.9480849999999998,1.9480849999999998,1.9480849999999998,1.9480849999999998,1.165141,2.2916464999999997,1.5965634999999998,1.6225319999999999,1.6269114999999998,2.191021,2.2052725,2.2074185,2.3779624999999998,2.3838235,2.3842955,2.4039805,2.410869,4
Na_Br,0.565314,Na,Br,2.011682,1.0452309999999998,1.0452309999999998,1.0452309999999998,2.1063745,2.106375,2.1063764999999997,1.350781,2.4772865,1.7822035,1.808172,1.8125514999999999,2.376661,2.3909124999999998,2.3930585,2.5636025,2.5694635,2.5699354999999997,2.5896204999999997,2.596509,4
K_Br,0.578236,K,Br,1.2364765,0.6187389999999999,0.6187389999999999,0.6187389999999999,1.3059195,1.3059205,1.3059205,0.572811,1.6993165000000001,1.0042335,1.030202,1.0345815,1.598691,1.6129425,1.6150885000000001,1.7856325000000002,1.7914935,1.7919654999999999,1.8116504999999998,1.818539,4
Rb_Br,0.577867,Rb,Br,1.1022915,0.588916,0.588916,0.588916,1.169881,1.169881,1.169881,0.44026999999999994,1.5667754999999999,0.8716925,0.897661,0.9020405,1.4661499999999998,1.4804015,1.4825475,1.6530915,1.6589524999999998,1.6594245,1.6791095,1.685998,4
Cs_Br,0.582741,Cs,Br,0.9125365,0.4843415,0.4843415,0.4843415,0.970568,0.9705685000000001,0.9705685000000001,0.2462755,1.372781,0.677698,0.7036665,0.708046,1.2721555,1.286407,1.288553,1.459097,1.464958,1.46543,1.485115,1.4920035,4
Be_Te,0.578463,Be,Te,3.694506,3.856542,3.856542,3.856542,3.856542,3.856542,3.856542,3.346807,4.474308000000001,3.657751,3.6949170000000002,3.6949170000000002,4.109386,4.132795,4.132796,4.138946,4.139635,4.1396370000000005,4.168945,4.168948,4
Mg_Te,0.425652,Mg,Te,2.757533,1.2230139999999998,1.2230139999999998,1.2230139999999998,2.908773,2.908773,2.908773,2.37755,3.505051,2.688494,2.72566,2.72566,3.140129,3.163538,3.163539,3.169689,3.170378,3.1703799999999998,3.199688,3.1996909999999996,4
Ca_Te,0.428519,Ca,Te,1.622906,0.7253029999999999,0.7253029999999999,0.7253029999999999,1.7187919999999999,1.7187919999999999,1.7187919999999999,1.2016449999999999,2.3291459999999997,1.512589,1.5497549999999998,1.5497549999999998,1.9642239999999997,1.9876329999999998,1.987634,1.9937839999999998,1.994473,1.994475,2.023783,2.023786,4
Sr_Te,0.41498,Sr,Te,1.373117,0.6709149999999999,0.6709149999999999,0.6709149999999999,1.461834,1.461834,1.461834,0.9344129999999999,2.061914,1.245357,1.2825229999999999,1.2825229999999999,1.6969919999999998,1.7204009999999998,1.720402,1.7265519999999999,1.727241,1.727243,1.756551,1.756554,4
Ba_Te,0.410021,Ba,Te,1.120324,0.5485439999999999,0.5485439999999999,0.5485439999999999,1.199578,1.199578,1.199578,0.6807219999999999,1.808223,0.9916659999999999,1.028832,1.028832,1.443301,1.46671,1.466711,1.472861,1.47355,1.473552,1.50286,1.502863,4
Li_I,0.527718,Li,I,1.835556,1.9480849999999998,1.9480849999999998,1.9480849999999998,1.9480849999999998,1.9480849999999998,1.9480849999999998,1.267278,4.867311,1.6273019999999998,1.649562,1.652124,2.1130204999999997,2.11585,2.1213214999999996,2.130007,2.1453145,2.1498185,2.1498185,2.1498185,4
Na_I,0.482415,Na,I,2.011682,1.0452309999999998,1.0452309999999998,1.0452309999999998,2.1063745,2.106375,2.1063764999999997,1.452918,5.052951,1.812942,1.835202,1.837764,2.2986605,2.30149,2.3069615,2.315647,2.3309545,2.3354584999999997,2.3354584999999997,2.3354584999999997,4
K_I,0.4871,K,I,1.2364765,0.6187389999999999,0.6187389999999999,0.6187389999999999,1.3059195,1.3059205,1.3059205,0.674948,4.2749809999999995,1.034972,1.057232,1.059794,1.5206905,1.52352,1.5289915,1.537677,1.5529845,1.5574884999999998,1.5574884999999998,1.5574884999999998,4
Rb_I,0.485219,Rb,I,1.1022915,0.588916,0.588916,0.588916,1.169881,1.169881,1.169881,0.542407,4.14244,0.902431,0.9246909999999999,0.9272529999999999,1.3881495,1.390979,1.3964504999999998,1.405136,1.4204435,1.4249475,1.4249475,1.4249475,4
Cs_I,0.490727,Cs,I,0.9125365,0.4843415,0.4843415,0.4843415,0.970568,0.9705685000000001,0.9705685000000001,0.3484125,3.9484455,0.7084365,0.7306965000000001,0.7332585,1.1941549999999999,1.1969845000000001,1.202456,1.2111415,1.2264490000000001,1.230953,1.230953,1.230953,4
